CVGEO,Nombre,POB_1995,POB_2000,POB_2005,POB_2010,prom
20459,Santiago Chazumba,4600,4314,4209,4479,4400.5
20460,Santiago Choápam,4241,4837,4979,5413,4867.5
20461,Santiago del Río,921,725,543,614,700.75
20462,Santiago Huajolotitlán,4555,3988,4014,4350,4226.75
20463,Santiago Huauclilla,976,933,607,663,794.75
20464,Santiago Ihuitlán Plumas,625,601,419,480,531.25
20465,Santiago Ixcuintepec,1236,1200,1441,1568,1361.25
20466,Santiago Ixtayutla,8732,10675,11542,11917,10716.5
20467,Santiago Jamiltepec,17794,17922,17206,18383,17826.25
20468,Santiago Jocotepec,11331,12682,12423,13568,12501
20469,Santiago Juxtlahuaca,29416,28118,33401,32927,30965.5
20470,Santiago Lachiguiri,5873,6336,4361,4693,5315.75
20471,Santiago Lalopa,507,520,414,496,484.25
20472,Santiago Laollaga,2883,2788,2716,3198,2896.25
20473,Santiago Laxopa,1519,1432,1282,1394,1406.75
20474,Santiago Llano Grande,3449,3291,3021,3260,3255.25
20475,Santiago Matatlán,7993,8759,9198,9653,8900.75
20476,Santiago Miltepec,424,397,265,409,373.75
20477,Santiago Minas,1721,1674,1504,1430,1582.25
20478,Santiago Nacaltepec,2700,2422,1967,1913,2250.5
20479,Santiago Nejapilla,296,266,195,219,244
20480,Santiago Nundiche,1038,1028,869,967,975.5
20481,Santiago Nuyoó,2975,2876,2173,1966,2497.5
20482,Santiago Pinotepa Nacional,42116,44193,44441,50309,45264.75
20483,Santiago Suchilquitongo,6828,7937,8518,9542,8206.25
20484,Santiago Tamazola,3185,4469,3950,4207,3952.75
20485,Santiago Tapextla,3473,3234,2810,3031,3137
20486,Villa Tejúpam de la Unión,2201,2306,2177,2469,2288.25
20487,Santiago Tenango,1672,1721,1782,1945,1780
20488,Santiago Tepetlapa,132,140,116,131,129.75
20489,Santiago Tetepec,4825,4997,4708,4953,4870.75
20490,Santiago Texcalcingo,2480,2712,2781,3076,2762.25
20491,Santiago Textitlán,2717,3315,3929,4170,3532.75
20492,Santiago Tilantongo,4117,3888,3348,3210,3640.75
20493,Santiago Tillo,512,506,472,553,510.75
20494,Santiago Tlazoyaltepec,4512,4330,4357,4894,4523.25
20495,Santiago Xanica,3285,3267,2829,2884,3066.25
20496,Santiago Xiacuí,1934,1762,1681,2171,1887
20497,Santiago Yaitepec,3242,3130,3665,4122,3539.75
20498,Santiago Yaveo,6696,6599,5503,6665,6365.75
20499,Santiago Yolomécatl,1729,1725,1912,2021,1846.75
20500,Santiago Yosondúa,7660,7544,7197,7883,7571
20501,Santiago Yucuyachi,1311,1173,742,940,1041.5
20502,Santiago Zacatepec,5136,4963,4871,5515,5121.25
20503,Santiago Zoochila,471,465,440,374,437.5
20504,Nuevo Zoquiápam,1690,1757,1486,1652,1646.25
20505,Santo Domingo Ingenio,8091,7295,7299,7554,7559.75
20506,Santo Domingo Albarradas,827,755,747,782,777.75
20507,Santo Domingo Armenta,3246,3347,3022,3224,3209.75
20508,Santo Domingo Chihuitán,1438,1488,1383,1521,1457.5
20509,Santo Domingo de Morelos,6496,8725,8751,10547,8629.75
20510,Santo Domingo Ixcatlán,857,878,1582,877,1048.5
20511,Santo Domingo Nuxaá,3141,3430,3253,3610,3358.5
20512,Santo Domingo Ozolotepec,1114,1125,962,913,1028.5
20513,Santo Domingo Petapa,7786,7379,7583,8394,7785.5
20514,Santo Domingo Roayaga,831,950,863,997,910.25
20515,Santo Domingo Tehuantepec,52142,53229,57163,61872,56101.5
20516,Santo Domingo Teojomulco,4044,4334,3992,4571,4235.25
20517,Santo Domingo Tepuxtepec,2710,4004,3714,5194,3905.5
20518,Santo Domingo Tlatayápam,161,160,146,153,155
20519,Santo Domingo Tomaltepec,2679,2834,2303,2790,2651.5
20520,Santo Domingo Tonalá,6631,7308,6535,7153,6906.75
20521,Santo Domingo Tonaltepec,347,327,291,276,310.25
20522,Santo Domingo Xagacía,1027,1041,928,1213,1052.25
20523,Santo Domingo Yanhuitlán,1630,1565,1472,1609,1569
20524,Santo Domingo Yodohino,573,510,441,369,473.25
20525,Santo Domingo Zanatepec,10153,10457,10716,11218,10636
20526,Santos Reyes Nopala,11403,14058,14504,15986,13987.75
20527,Santos Reyes Pápalo,2300,2569,2647,2829,2586.25
20528,Santos Reyes Tepejillo,1595,1464,1125,1213,1349.25
20529,Santos Reyes Yucuná,1345,1456,1322,1332,1363.75
20530,Santo Tomás Jalieza,2822,3095,2885,3385,3046.75
20531,Santo Tomás Mazaltepec,2021,1939,1878,2333,2042.75
20532,Santo Tomás Ocotepec,3939,4139,3789,4076,3985.75
20533,Santo Tomás Tamazulapan,1633,1683,1853,2191,1840
20534,San Vicente Coatlán,3587,4173,3378,3964,3775.5
20535,San Vicente Lachixío,2870,3390,3154,2976,3097.5
20536,San Vicente Nuñú,568,519,469,493,512.25
20537,Silacayoápam,8293,7786,6486,6747,7328
20538,Sitio de Xitlapehua,634,635,705,705,669.75
20539,Soledad Etla,3352,3902,4187,5025,4116.5
20540,Villa de Tamazulápam del Progreso,6202,6088,6638,7059,6496.75
20541,Tanetze de Zaragoza,1821,1855,1581,1707,1741
20542,Taniche,990,874,739,746,837.25
20543,Tataltepec de Valdés,4954,5306,5377,5561,5299.5
20544,Teococuilco de Marcos Pérez,1729,1747,1237,1106,1454.75
20545,Teotitlán de Flores Magón,7084,7476,8675,8966,8050.25
20546,Teotitlán del Valle,5330,5562,5601,5638,5532.75
20547,Teotongo,1154,952,937,951,998.5
20548,Tepelmeme Villa de Morelos,1645,1573,1455,1734,1601.75
20549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",12008,12346,11020,11319,11673.25
20550,San Jerónimo Tlacochahuaya,4694,4724,4679,5076,4793.25
20551,Tlacolula de Matamoros,12733,13507,16510,19625,15593.75
20552,Tlacotepec Plumas,572,514,468,510,516
20553,Tlalixtac de Cabrera,6042,6777,8378,9417,7653.5
20554,Totontepec Villa de Morelos,5438,5626,4780,5598,5360.5
20555,Trinidad Zaachila,2833,2813,2809,2653,2777
20556,La Trinidad Vista Hermosa,393,316,235,249,298.25
20557,Unión Hidalgo,12910,12140,12983,13970,13000.75
20558,Valerio Trujano,1631,1507,1502,1543,1545.75
20559,San Juan Bautista Valle Nacional,22276,22886,21189,22446,22199.25
20560,Villa Díaz Ordaz,5791,5594,5859,6174,5854.5
20561,Yaxe,2003,2256,2442,2683,2346
20562,Magdalena Yodocono de Porfirio Díaz,1447,1305,1195,1458,1351.25
20563,Yogana,1807,1413,1160,1308,1422
20564,Yutanduchi de Guerrero,1313,1259,1175,1292,1259.75
20565,Villa de Zaachila,15512,19247,28003,34101,24215.75
20566,San Mateo Yucutindoo,2688,3184,3252,3034,3039.5
20567,Zapotitlán Lagunas,2915,3433,3098,3133,3144.75
20568,Zapotitlán Palmas,1551,1563,1373,1514,1500.25
20569,Santa Inés de Zaragoza,2061,1958,1649,1707,1843.75
20570,Zimatlán de Álvarez,16311,16801,18370,19215,17674.25
